Country/Territory,Latitude,Longitude,Administrative division level 2,Species 1,Susceptible 1,Cases 1,Dead 1,Killed 1,Slaughtered 1,Confirmation date
Greece,39.754,22.535,Thessaly,Sheep/goats (mixed herd),620.0,1.0,1.0,,,2024-07-26
Romania,44.904,28.737,Babadag,Sheep,509.0,509.0,58.0,451.0,0.0,2024-07-24
Romania,44.776,28.55,Stejaru,Sheep,320.0,320.0,108.0,212.0,0.0,2024-07-24
Romania,44.775,28.55,Stejaru,Sheep,250.0,250.0,116.0,134.0,0.0,2024-07-24
Romania,44.773,28.544,Stejaru,Sheep,1308.0,1308.0,278.0,1030.0,0.0,2024-07-24
Romania,44.771,28.543,Stejaru,Sheep,624.0,624.0,147.0,477.0,0.0,2024-07-24
Romania,44.77,28.543,Stejaru,Sheep,2624.0,2624.0,106.0,2518.0,0.0,2024-07-24
Romania,44.77,28.543,Stejaru,Sheep,1007.0,1007.0,50.0,957.0,0.0,2024-07-24
Romania,44.771,28.543,Stejaru,Sheep,1096.0,1096.0,79.0,1017.0,0.0,2024-07-24
Romania,44.778,28.543,Stejaru,Sheep,424.0,424.0,24.0,400.0,0.0,2024-07-24
Romania,44.77,28.547,Stejaru,Sheep,650.0,650.0,40.0,610.0,0.0,2024-07-24
Romania,44.912,28.703,Babadag,Sheep,,2.0,2.0,,,2024-07-22
Greece,39.613,21.947,Thessaly,Sheep,430.0,3.0,1.0,,,2024-07-24
Greece,39.718,22.558,Thessaly,Sheep,3100.0,80.0,1.0,,,2024-07-24
Greece,39.712,22.565,Thessaly,Sheep,322.0,30.0,1.0,,,2024-07-23
Greece,39.729,22.143,Thessaly,Sheep,927.0,270.0,,,,2024-07-23
Greece,39.781,22.095,Thessaly,Sheep,150.0,2.0,,,,2024-07-23
Greece,39.782,22.092,Thessaly,Sheep,29.0,2.0,,,,2024-07-23
Greece,39.785,22.099,Thessaly,Sheep,348.0,6.0,,,,2024-07-23
Greece,39.794,22.096,Thessaly,Sheep,52.0,4.0,1.0,,,2024-07-23
Romania,44.627,28.73,Mihai Viteazu,Goats,424.0,424.0,177.0,247.0,0.0,2024-07-23
Romania,44.931,28.721,Babadag,Sheep/goats (mixed herd),20900.0,20900.0,18.0,20882.0,0.0,2024-07-23
Romania,44.768,28.54,Stejaru,Sheep,663.0,663.0,83.0,580.0,0.0,2024-07-22
Romania,44.764,28.688,Baia,Sheep,7478.0,7478.0,553.0,6925.0,0.0,2024-07-22
